name,date,m,n,d,solution_id,algorithm,objectiveValue,objectiveFunction,job,operation,machine,processing_time,starttime,endtime,microruns,timeSeconds,memoryBytes,metadata,status
testsTwoJobs/m10n_i10.txt,2023-10-18T07:16:33.807,10,2,0,17974677802406207789,Shifting Bottleneck,68,Cmax_function,1,1,1,9,13,22,95,0.6359126,70277964,"Dict{String, Any}()",OK
testsTwoJobs/m10n_i10.txt,2023-10-18T07:16:33.807,10,2,0,17974677802406207789,Shifting Bottleneck,68,Cmax_function,1,2,2,2,22,24,95,0.6359126,70277964,"Dict{String, Any}()",OK
testsTwoJobs/m10n_i10.txt,2023-10-18T07:16:33.807,10,2,0,17974677802406207789,Shifting Bottleneck,68,Cmax_function,1,3,7,10,24,34,95,0.6359126,70277964,"Dict{String, Any}()",OK
testsTwoJobs/m10n_i10.txt,2023-10-18T07:16:33.807,10,2,0,17974677802406207789,Shifting Bottleneck,68,Cmax_function,1,4,8,9,34,43,95,0.6359126,70277964,"Dict{String, Any}()",OK
testsTwoJobs/m10n_i10.txt,2023-10-18T07:16:33.807,10,2,0,17974677802406207789,Shifting Bottleneck,68,Cmax_function,1,5,8,1,43,44,95,0.6359126,70277964,"Dict{String, Any}()",OK
testsTwoJobs/m10n_i10.txt,2023-10-18T07:16:33.807,10,2,0,17974677802406207789,Shifting Bottleneck,68,Cmax_function,1,6,4,4,44,48,95,0.6359126,70277964,"Dict{String, Any}()",OK
testsTwoJobs/m10n_i10.txt,2023-10-18T07:16:33.807,10,2,0,17974677802406207789,Shifting Bottleneck,68,Cmax_function,1,7,6,4,48,52,95,0.6359126,70277964,"Dict{String, Any}()",OK
testsTwoJobs/m10n_i10.txt,2023-10-18T07:16:33.807,10,2,0,17974677802406207789,Shifting Bottleneck,68,Cmax_function,1,8,9,2,52,54,95,0.6359126,70277964,"Dict{String, Any}()",OK
testsTwoJobs/m10n_i10.txt,2023-10-18T07:16:33.807,10,2,0,17974677802406207789,Shifting Bottleneck,68,Cmax_function,1,9,8,3,54,57,95,0.6359126,70277964,"Dict{String, Any}()",OK
testsTwoJobs/m10n_i10.txt,2023-10-18T07:16:33.807,10,2,0,17974677802406207789,Shifting Bottleneck,68,Cmax_function,1,10,10,6,57,63,95,0.6359126,70277964,"Dict{String, Any}()",OK
testsTwoJobs/m10n_i10.txt,2023-10-18T07:16:33.807,10,2,0,17974677802406207789,Shifting Bottleneck,68,Cmax_function,2,1,9,7,0,7,95,0.6359126,70277964,"Dict{String, Any}()",OK
testsTwoJobs/m10n_i10.txt,2023-10-18T07:16:33.807,10,2,0,17974677802406207789,Shifting Bottleneck,68,Cmax_function,2,2,1,6,7,13,95,0.6359126,70277964,"Dict{String, Any}()",OK
testsTwoJobs/m10n_i10.txt,2023-10-18T07:16:33.807,10,2,0,17974677802406207789,Shifting Bottleneck,68,Cmax_function,2,3,8,8,13,21,95,0.6359126,70277964,"Dict{String, Any}()",OK
testsTwoJobs/m10n_i10.txt,2023-10-18T07:16:33.807,10,2,0,17974677802406207789,Shifting Bottleneck,68,Cmax_function,2,4,1,9,22,31,95,0.6359126,70277964,"Dict{String, Any}()",OK
testsTwoJobs/m10n_i10.txt,2023-10-18T07:16:33.807,10,2,0,17974677802406207789,Shifting Bottleneck,68,Cmax_function,2,5,2,5,31,36,95,0.6359126,70277964,"Dict{String, Any}()",OK
testsTwoJobs/m10n_i10.txt,2023-10-18T07:16:33.807,10,2,0,17974677802406207789,Shifting Bottleneck,68,Cmax_function,2,6,7,8,36,44,95,0.6359126,70277964,"Dict{String, Any}()",OK
testsTwoJobs/m10n_i10.txt,2023-10-18T07:16:33.807,10,2,0,17974677802406207789,Shifting Bottleneck,68,Cmax_function,2,7,8,4,44,48,95,0.6359126,70277964,"Dict{String, Any}()",OK
testsTwoJobs/m10n_i10.txt,2023-10-18T07:16:33.807,10,2,0,17974677802406207789,Shifting Bottleneck,68,Cmax_function,2,8,8,5,48,53,95,0.6359126,70277964,"Dict{String, Any}()",OK
testsTwoJobs/m10n_i10.txt,2023-10-18T07:16:33.807,10,2,0,17974677802406207789,Shifting Bottleneck,68,Cmax_function,2,9,4,10,53,63,95,0.6359126,70277964,"Dict{String, Any}()",OK
testsTwoJobs/m10n_i10.txt,2023-10-18T07:16:33.807,10,2,0,17974677802406207789,Shifting Bottleneck,68,Cmax_function,2,10,8,5,63,68,95,0.6359126,70277964,"Dict{String, Any}()",OK
testsTwoJobs/m10n_i14.txt,2023-10-18T07:16:33.885,10,2,0,17051928402094914922,Shifting Bottleneck,0,,1,1,2,3,0,0,0,0.0,0,"Dict{String, Any}()",Cycle of fixed disjunctive edges occured.
testsTwoJobs/m10n_i14.txt,2023-10-18T07:16:33.885,10,2,0,17051928402094914922,Shifting Bottleneck,0,,1,2,8,9,0,0,0,0.0,0,"Dict{String, Any}()",Cycle of fixed disjunctive edges occured.
testsTwoJobs/m10n_i14.txt,2023-10-18T07:16:33.885,10,2,0,17051928402094914922,Shifting Bottleneck,0,,1,3,1,1,0,0,0,0.0,0,"Dict{String, Any}()",Cycle of fixed disjunctive edges occured.
testsTwoJobs/m10n_i14.txt,2023-10-18T07:16:33.885,10,2,0,17051928402094914922,Shifting Bottleneck,0,,1,4,10,4,0,0,0,0.0,0,"Dict{String, Any}()",Cycle of fixed disjunctive edges occured.
testsTwoJobs/m10n_i14.txt,2023-10-18T07:16:33.885,10,2,0,17051928402094914922,Shifting Bottleneck,0,,1,5,7,3,0,0,0,0.0,0,"Dict{String, Any}()",Cycle of fixed disjunctive edges occured.
testsTwoJobs/m10n_i14.txt,2023-10-18T07:16:33.885,10,2,0,17051928402094914922,Shifting Bottleneck,0,,1,6,10,1,0,0,0,0.0,0,"Dict{String, Any}()",Cycle of fixed disjunctive edges occured.
