name,date,m,n,d,solution_id,algorithm,objectiveValue,objectiveFunction,job,operation,machine,processing_time,starttime,endtime,microruns,timeSeconds,memoryBytes,metadata,status
testsNoRcrc/n8m10i1.txt,2023-11-20T16:23:26.618,10,8,0,581864433460850344,Branch and Bound - Carlier,80,Cmax_function,1,1,1,5,3,8,1608531,188.9350994,110904128608,"Dict{String, Any}(""terminalNodes"" => 3, ""nodesGenerated"" => 98969, ""skippedNodes"" => 35598)",OK
testsNoRcrc/n8m10i1.txt,2023-11-20T16:23:26.618,10,8,0,581864433460850344,Branch and Bound - Carlier,80,Cmax_function,1,2,4,7,8,15,1608531,188.9350994,110904128608,"Dict{String, Any}(""terminalNodes"" => 3, ""nodesGenerated"" => 98969, ""skippedNodes"" => 35598)",OK
testsNoRcrc/n8m10i1.txt,2023-11-20T16:23:26.618,10,8,0,581864433460850344,Branch and Bound - Carlier,80,Cmax_function,1,3,6,5,18,23,1608531,188.9350994,110904128608,"Dict{String, Any}(""terminalNodes"" => 3, ""nodesGenerated"" => 98969, ""skippedNodes"" => 35598)",OK
testsNoRcrc/n8m10i1.txt,2023-11-20T16:23:26.618,10,8,0,581864433460850344,Branch and Bound - Carlier,80,Cmax_function,1,4,8,2,23,25,1608531,188.9350994,110904128608,"Dict{String, Any}(""terminalNodes"" => 3, ""nodesGenerated"" => 98969, ""skippedNodes"" => 35598)",OK
testsNoRcrc/n8m10i1.txt,2023-11-20T16:23:26.618,10,8,0,581864433460850344,Branch and Bound - Carlier,80,Cmax_function,1,5,2,4,25,29,1608531,188.9350994,110904128608,"Dict{String, Any}(""terminalNodes"" => 3, ""nodesGenerated"" => 98969, ""skippedNodes"" => 35598)",OK
testsNoRcrc/n8m10i1.txt,2023-11-20T16:23:26.618,10,8,0,581864433460850344,Branch and Bound - Carlier,80,Cmax_function,1,6,5,8,31,39,1608531,188.9350994,110904128608,"Dict{String, Any}(""terminalNodes"" => 3, ""nodesGenerated"" => 98969, ""skippedNodes"" => 35598)",OK
testsNoRcrc/n8m10i1.txt,2023-11-20T16:23:26.618,10,8,0,581864433460850344,Branch and Bound - Carlier,80,Cmax_function,1,7,10,6,41,47,1608531,188.9350994,110904128608,"Dict{String, Any}(""terminalNodes"" => 3, ""nodesGenerated"" => 98969, ""skippedNodes"" => 35598)",OK
testsNoRcrc/n8m10i1.txt,2023-11-20T16:23:26.618,10,8,0,581864433460850344,Branch and Bound - Carlier,80,Cmax_function,1,8,7,1,51,52,1608531,188.9350994,110904128608,"Dict{String, Any}(""terminalNodes"" => 3, ""nodesGenerated"" => 98969, ""skippedNodes"" => 35598)",OK
testsNoRcrc/n8m10i1.txt,2023-11-20T16:23:26.618,10,8,0,581864433460850344,Branch and Bound - Carlier,80,Cmax_function,1,9,3,4,52,56,1608531,188.9350994,110904128608,"Dict{String, Any}(""terminalNodes"" => 3, ""nodesGenerated"" => 98969, ""skippedNodes"" => 35598)",OK
testsNoRcrc/n8m10i1.txt,2023-11-20T16:23:26.618,10,8,0,581864433460850344,Branch and Bound - Carlier,80,Cmax_function,1,10,9,9,63,72,1608531,188.9350994,110904128608,"Dict{String, Any}(""terminalNodes"" => 3, ""nodesGenerated"" => 98969, ""skippedNodes"" => 35598)",OK
testsNoRcrc/n8m10i1.txt,2023-11-20T16:23:26.618,10,8,0,581864433460850344,Branch and Bound - Carlier,80,Cmax_function,2,1,5,8,19,27,1608531,188.9350994,110904128608,"Dict{String, Any}(""terminalNodes"" => 3, ""nodesGenerated"" => 98969, ""skippedNodes"" => 35598)",OK
testsNoRcrc/n8m10i1.txt,2023-11-20T16:23:26.618,10,8,0,581864433460850344,Branch and Bound - Carlier,80,Cmax_function,2,2,3,4,27,31,1608531,188.9350994,110904128608,"Dict{String, Any}(""terminalNodes"" => 3, ""nodesGenerated"" => 98969, ""skippedNodes"" => 35598)",OK
