name                          ,algorithm                                                ,date                    ,m ,n ,solution_id          ,objectiveValue ,microruns ,timeSeconds ,memoryBytes ,metadata                                       ,status                                         ,operation_maximum
testsTwoJobs2/m2n_i200i1.txt  ,Shifting Bottleneck - DPC with timeout 10.0 with depth 0 ,2023-11-11T15:43:17.775 ,2 ,2 ,14373456759151260053 ,          1447 ,      310 , 10.139834  , 1078310936 ,"Dict{String, Any}(""timeouts_carlier"" => 1)" ,OK                                             ,              200
testsTwoJobs2/m2n_i200i2.txt  ,Shifting Bottleneck - DPC with timeout 10.0 with depth 0 ,2023-11-11T15:43:27.674 ,2 ,2 ,11141305146261537152 ,          1495 ,     1207 , 20.1271206 , 3442334880 ,"Dict{String, Any}(""timeouts_carlier"" => 2)" ,OK                                             ,              200
testsTwoJobs2/m2n_i200i3.txt  ,Shifting Bottleneck - DPC with timeout 10.0 with depth 0 ,2023-11-11T15:43:17.641 ,2 ,2 , 8175639332552678309 ,          1423 ,      484 , 10.1289157 , 1293225800 ,"Dict{String, Any}(""timeouts_carlier"" => 1)" ,OK                                             ,              200
testsTwoJobs2/m2n_i200i4.txt  ,Shifting Bottleneck - DPC with timeout 10.0 with depth 0 ,2023-11-11T15:43:39.036 ,2 ,2 ,12438455412212624621 ,          1530 ,     1155 , 20.0545632 , 4006397736 ,"Dict{String, Any}(""timeouts_carlier"" => 2)" ,OK                                             ,              200
testsTwoJobs2/m2n_i200i5.txt  ,Shifting Bottleneck - DPC with timeout 10.0 with depth 0 ,2023-11-11T15:43:29.049 ,2 ,2 ,14933726835313873614 ,          1550 ,      577 , 10.0608285 , 1829763208 ,"Dict{String, Any}(""timeouts_carlier"" => 1)" ,OK                                             ,              200
testsTwoJobs2/m2n_i400i1.txt  ,Shifting Bottleneck - DPC with timeout 10.0 with depth 0 ,2023-11-11T15:43:28.377 ,2 ,2 , 1193395687663343060 ,          2947 ,        4 ,  0.1880582 ,   61169440 ,"Dict{String, Any}()"                          ,OK                                             ,              400
testsTwoJobs2/m2n_i400i2.txt  ,Shifting Bottleneck - DPC with timeout 10.0 with depth 0 ,2023-11-11T15:43:48.54  ,2 ,2 ,12506589534045165984 ,          2956 ,      413 , 20.1625786 , 4833822216 ,"Dict{String, Any}(""timeouts_carlier"" => 2)" ,OK                                             ,              400
testsTwoJobs2/m2n_i400i3.txt  ,Shifting Bottleneck - DPC with timeout 10.0 with depth 0 ,2023-11-11T15:43:39.342 ,2 ,2 ,17400752277278336151 ,          2941 ,      141 , 10.2904629 , 2032654776 ,"Dict{String, Any}(""timeouts_carlier"" => 1)" ,OK                                             ,              400
testsTwoJobs2/m2n_i400i4.txt  ,Shifting Bottleneck - DPC with timeout 10.0 with depth 0 ,2023-11-11T15:43:39.18  ,2 ,2 ,18425171823313648905 ,          3016 ,        4 ,  0.1365808 ,   61328784 ,"Dict{String, Any}()"                          ,OK                                             ,              400
testsTwoJobs2/m2n_i400i5.txt  ,Shifting Bottleneck - DPC with timeout 10.0 with depth 0 ,2023-11-11T15:44:19.439 ,2 ,2 ,14608248261003104038 ,          2952 ,      884 , 40.2602519 , 9979575872 ,"Dict{String, Any}(""timeouts_carlier"" => 4)" ,OK                                             ,              400
testsTwoJobs2/m2n_i600i1.txt  ,Shifting Bottleneck - DPC with timeout 10.0 with depth 0 ,2023-11-11T15:43:49.678 ,2 ,2 , 4999248227416080931 ,          4632 ,      109 , 10.3228856 , 3126924264 ,"Dict{String, Any}(""timeouts_carlier"" => 1)" ,OK                                             ,              600
testsTwoJobs2/m2n_i600i2.txt  ,Shifting Bottleneck - DPC with timeout 10.0 with depth 0 ,2023-11-11T15:44:09.028 ,2 ,2 ,10466096651151807421 ,          4518 ,      222 , 20.479827  , 5379509584 ,"Dict{String, Any}(""timeouts_carlier"" => 2)" ,OK                                             ,              600
testsTwoJobs2/m2n_i600i3.txt  ,Shifting Bottleneck - DPC with timeout 10.0 with depth 0 ,2023-11-11T15:44:10.129 ,2 ,2 , 3270419077460837540 ,          4428 ,      203 , 20.4530535 , 5458772328 ,"Dict{String, Any}(""timeouts_carlier"" => 2)" ,OK                                             ,              600
testsTwoJobs2/m2n_i600i4.txt  ,Shifting Bottleneck - DPC with timeout 10.0 with depth 0 ,2023-11-11T15:44:29.547 ,2 ,2 , 2331760453999455115 ,          4463 ,      189 , 20.5186236 , 5336573848 ,"Dict{String, Any}(""timeouts_carlier"" => 2)" ,OK                                             ,              600
testsTwoJobs2/m2n_i600i5.txt  ,Shifting Bottleneck - DPC with timeout 10.0 with depth 0 ,2023-11-11T15:44:20.439 ,2 ,2 ,17472470563149019936 ,          4551 ,      129 , 10.3156525 , 2730210424 ,"Dict{String, Any}(""timeouts_carlier"" => 1)" ,OK                                             ,              600
testsTwoJobs2/m2n_i800i1.txt  ,Shifting Bottleneck - DPC with timeout 10.0 with depth 0 ,2023-11-11T15:44:30.432 ,2 ,2 ,13356009722875090197 ,          6103 ,       31 , 10.9865533 , 1787884872 ,"Dict{String, Any}(""timeouts_carlier"" => 1)" ,OK                                             ,              800
testsTwoJobs2/m2n_i800i2.txt  ,Shifting Bottleneck - DPC with timeout 10.0 with depth 0 ,2023-11-11T15:44:41.184 ,2 ,2 , 2444811333816142890 ,          5911 ,      104 , 20.7354278 , 4708665728 ,"Dict{String, Any}(""timeouts_carlier"" => 2)" ,OK                                             ,              800
testsTwoJobs2/m2n_i800i3.txt  ,Shifting Bottleneck - DPC with timeout 10.0 with depth 0 ,2023-11-11T15:44:50.246 ,2 ,2 ,17687725634205088851 ,          6082 ,       95 , 20.6953858 , 4358966152 ,"Dict{String, Any}(""timeouts_carlier"" => 2)" ,OK                                             ,              800
testsTwoJobs2/m2n_i800i4.txt  ,Shifting Bottleneck - DPC with timeout 10.0 with depth 0 ,2023-11-11T15:44:51.193 ,2 ,2 , 2402331891560154719 ,          6029 ,      107 , 20.7564485 , 4720245272 ,"Dict{String, Any}(""timeouts_carlier"" => 2)" ,OK                                             ,              800
testsTwoJobs2/m2n_i800i5.txt  ,Shifting Bottleneck - DPC with timeout 10.0 with depth 0 ,2023-11-11T15:45:12.38  ,2 ,2 , 1548178066418095732 ,          5882 ,      120 , 31.1914342 , 5513632048 ,"Dict{String, Any}(""timeouts_carlier"" => 3)" ,OK                                             ,              800
testsTwoJobs2/m2n_i1000i1.txt ,Shifting Bottleneck - DPC with timeout 10.0 with depth 0 ,2023-11-11T15:45:02.68  ,2 ,2 , 6884128187915440086 ,          7401 ,       20 , 12.4401469 , 1686196352 ,"Dict{String, Any}(""timeouts_carlier"" => 1)" ,OK                                             ,             1000
testsTwoJobs2/m2n_i1000i2.txt ,Shifting Bottleneck - DPC with timeout 10.0 with depth 0 ,2023-11-11T15:44:52.253 ,2 ,2 , 1782024174167246221 ,          7246 ,        4 ,  1.0585904 ,  369595696 ,"Dict{String, Any}()"                          ,OK                                             ,             1000
testsTwoJobs2/m2n_i1000i3.txt ,Shifting Bottleneck - DPC with timeout 10.0 with depth 0 ,2023-11-11T15:45:13.687 ,2 ,2 ,12141012306047047275 ,          7427 ,       39 , 21.4320308 , 3174620680 ,"Dict{String, Any}(""timeouts_carlier"" => 2)" ,OK                                             ,             1000
testsTwoJobs2/m2n_i1000i4.txt ,Shifting Bottleneck - DPC with timeout 10.0 with depth 0 ,2023-11-11T15:45:13.721 ,2 ,2 ,14100519290713685281 ,          7438 ,       17 , 11.0309868 , 1486778168 ,"Dict{String, Any}(""timeouts_carlier"" => 1)" ,OK                                             ,             1000
testsTwoJobs2/m2n_i1000i5.txt ,Shifting Bottleneck - DPC with timeout 10.0 with depth 0 ,2023-11-11T15:45:23.528 ,2 ,2 ,  282408531665726787 ,          7399 ,       43 , 11.1522628 , 2580198520 ,"Dict{String, Any}(""timeouts_carlier"" => 1)" ,OK                                             ,             1000
testsTwoJobs2/m2n_i1200i1.txt ,Shifting Bottleneck - DPC with timeout 10.0 with depth 0 ,2023-11-11T15:45:14.986 ,2 ,2 , 6372733076494044700 ,          8855 ,        4 ,  1.3089725 ,  557283072 ,"Dict{String, Any}()"                          ,OK                                             ,             1200
testsTwoJobs2/m2n_i1200i2.txt ,Shifting Bottleneck - DPC with timeout 10.0 with depth 0 ,2023-11-11T15:45:47.297 ,2 ,2 ,10235455417259937969 ,          9037 ,       56 , 33.5885829 , 5888860464 ,"Dict{String, Any}(""timeouts_carlier"" => 3)" ,OK                                             ,             1200
testsTwoJobs2/m2n_i1200i3.txt ,Shifting Bottleneck - DPC with timeout 10.0 with depth 0 ,2023-11-11T15:45:26.248 ,2 ,2 ,12745423559142776574 ,          9347 ,       24 , 11.2494311 , 2918359104 ,"Dict{String, Any}(""timeouts_carlier"" => 1)" ,OK                                             ,             1200
testsTwoJobs2/m2n_i1200i4.txt ,Shifting Bottleneck - DPC with timeout 10.0 with depth 0 ,2023-11-11T15:45:44.859 ,2 ,2 ,10622642927500654445 ,          8952 ,       43 , 21.3261688 , 3846276520 ,"Dict{String, Any}(""timeouts_carlier"" => 2)" ,OK                                             ,             1200
testsTwoJobs2/m2n_i1200i5.txt ,Shifting Bottleneck - DPC with timeout 10.0 with depth 0 ,2023-11-11T15:45:37.893 ,2 ,2 , 1519568130442527679 ,          9033 ,       19 , 11.6555514 , 2336779720 ,"Dict{String, Any}(""timeouts_carlier"" => 1)" ,OK                                             ,             1200
testsTwoJobs2/m2n_i1400i1.txt ,Shifting Bottleneck - DPC with timeout 10.0 with depth 0 ,2023-11-11T15:46:00.079 ,2 ,2 , 7114267650858266313 ,         10402 ,       29 , 22.1722988 , 3816465560 ,"Dict{String, Any}(""timeouts_carlier"" => 2)" ,OK                                             ,             1400
testsTwoJobs2/m2n_i1400i2.txt ,Shifting Bottleneck - DPC with timeout 10.0 with depth 0 ,2023-11-11T15:45:56.585 ,2 ,2 ,11338974011880084442 ,         10660 ,       19 , 11.7227091 , 2416010696 ,"Dict{String, Any}(""timeouts_carlier"" => 1)" ,OK                                             ,             1400
testsTwoJobs2/m2n_i1400i3.txt ,Shifting Bottleneck - DPC with timeout 10.0 with depth 0 ,2023-11-11T15:46:10.844 ,2 ,2 , 4009108861562818393 ,         10361 ,       30 , 23.5429219 , 4131372192 ,"Dict{String, Any}(""timeouts_carlier"" => 2)" ,OK                                             ,             1400
testsTwoJobs2/m2n_i1400i4.txt ,Shifting Bottleneck - DPC with timeout 10.0 with depth 0 ,2023-11-11T15:46:09.112 ,2 ,2 ,18273755720192631743 ,         10538 ,       21 , 12.5351263 , 2743871240 ,"Dict{String, Any}(""timeouts_carlier"" => 1)" ,OK                                             ,             1400
testsTwoJobs2/m2n_i1400i5.txt ,Shifting Bottleneck - DPC with timeout 10.0 with depth 0 ,2023-11-11T15:46:34.39  ,2 ,2 , 2718423538954938337 ,         10590 ,       44 , 34.3244398 , 5765769488 ,"Dict{String, Any}(""timeouts_carlier"" => 3)" ,OK                                             ,             1400
testsTwoJobs2/m2n_i1600i1.txt ,Shifting Bottleneck - DPC with timeout 10.0 with depth 0 ,2023-11-11T15:46:21.38  ,2 ,2 ,11928278689036017341 ,         12006 ,       14 , 12.2694882 , 3022030768 ,"Dict{String, Any}(""timeouts_carlier"" => 1)" ,OK                                             ,             1600
testsTwoJobs2/m2n_i1600i2.txt ,Shifting Bottleneck - DPC with timeout 10.0 with depth 0 ,2023-11-11T15:46:36.523 ,2 ,2 ,  561483871822344385 ,         12050 ,       20 , 25.6726863 , 3696701840 ,"Dict{String, Any}(""timeouts_carlier"" => 2)" ,OK                                             ,             1600
testsTwoJobs2/m2n_i1600i3.txt ,Shifting Bottleneck - DPC with timeout 10.0 with depth 0 ,2023-11-11T15:46:24.134 ,2 ,2 ,14912517074778946159 ,         12095 ,        4 ,  2.7479378 ,  994985536 ,"Dict{String, Any}()"                          ,OK                                             ,             1600
testsTwoJobs2/m2n_i1600i4.txt ,Shifting Bottleneck - DPC with timeout 10.0 with depth 0 ,2023-11-11T15:46:47.032 ,2 ,2 ,15519379629705166008 ,         12119 ,       28 , 22.9018723 , 4889074336 ,"Dict{String, Any}(""timeouts_carlier"" => 2)" ,OK                                             ,             1600
testsTwoJobs2/m2n_i1600i5.txt ,Shifting Bottleneck - DPC with timeout 10.0 with depth 0 ,2023-11-11T15:46:37.06  ,2 ,2 , 8960382480547421966 ,         11980 ,        4 ,  2.6660649 ,  996868992 ,"Dict{String, Any}()"                          ,OK                                             ,             1600
testsTwoJobs2/m2n_i1800i1.txt ,Shifting Bottleneck - DPC with timeout 10.0 with depth 0 ,2023-11-11T15:47:02.088 ,2 ,2 ,14290305893402780746 ,         13674 ,       22 , 25.5628061 , 5078560256 ,"Dict{String, Any}(""timeouts_carlier"" => 2)" ,OK                                             ,             1800
testsTwoJobs2/m2n_i1800i2.txt ,Shifting Bottleneck - DPC with timeout 10.0 with depth 0 ,2023-11-11T15:47:02.229 ,2 ,2 , 2712316026921204319 ,         13493 ,       17 , 25.1393754 , 4113432440 ,"Dict{String, Any}(""timeouts_carlier"" => 2)" ,OK                                             ,             1800
testsTwoJobs2/m2n_i1800i3.txt ,Shifting Bottleneck - DPC with timeout 10.0 with depth 0 ,2023-11-11T15:47:10.147 ,2 ,2 , 7526335816441943089 ,         13380 ,       23 , 23.1008342 , 5643441384 ,"Dict{String, Any}(""timeouts_carlier"" => 2)" ,OK                                             ,             1800
testsTwoJobs2/m2n_i1800i4.txt ,Shifting Bottleneck - DPC with timeout 10.0 with depth 0 ,2023-11-11T15:47:15.913 ,2 ,2 , 3633443895250928839 ,         13474 ,       13 , 13.8037274 , 2916312568 ,"Dict{String, Any}(""timeouts_carlier"" => 1)" ,OK                                             ,             1800
testsTwoJobs2/m2n_i1800i5.txt ,Shifting Bottleneck - DPC with timeout 10.0 with depth 0 ,2023-11-11T15:47:06.042 ,2 ,2 ,16950059005741974605 ,         13509 ,        4 ,  3.800004  , 1231386288 ,"Dict{String, Any}()"                          ,OK                                             ,             1800
testsTwoJobs2/m2n_i2000i1.txt ,Shifting Bottleneck - DPC with timeout 10.0 with depth 0 ,2023-11-11T15:47:31.193 ,2 ,2 , 8239388114333634548 ,         14950 ,       17 , 25.1482269 , 4920283192 ,"Dict{String, Any}(""timeouts_carlier"" => 2)" ,OK                                             ,             2000
testsTwoJobs2/m2n_i2000i2.txt ,Shifting Bottleneck - DPC with timeout 10.0 with depth 0 ,2023-11-11T15:47:15.001 ,2 ,2 , 3149703435099062798 ,         15141 ,        4 ,  4.851984  , 1490798160 ,"Dict{String, Any}()"                          ,OK                                             ,             2000
testsTwoJobs2/m2n_i2000i3.txt ,Shifting Bottleneck - DPC with timeout 10.0 with depth 0 ,2023-11-11T15:47:50.457 ,2 ,2 , 9638763406877769905 ,         15233 ,       20 , 35.4556248 , 6075965744 ,"Dict{String, Any}(""timeouts_carlier"" => 3)" ,OK                                             ,             2000
testsTwoJobs2/m2n_i2000i4.txt ,Shifting Bottleneck - DPC with timeout 10.0 with depth 0 ,2023-11-11T15:47:50.395 ,2 ,2 , 8114295449422694709 ,         14819 ,       24 , 34.4750235 , 6503847968 ,"Dict{String, Any}(""timeouts_carlier"" => 3)" ,OK                                             ,             2000
testsTwoJobs2/m2n_i2000i5.txt ,Shifting Bottleneck - DPC with timeout 10.0 with depth 0 ,2023-11-11T15:47:35.594 ,2 ,2 ,16487861128757100174 ,         14881 ,        4 ,  4.4005111 , 1491554352 ,"Dict{String, Any}()"                          ,OK                                             ,             2000
testsTwoJobs2/m2n_i2200i1.txt ,Shifting Bottleneck - DPC with timeout 10.0 with depth 0 ,2023-11-11T15:47:51.993 ,2 ,2 , 6544785141338543440 ,         16439 ,        9 , 16.411242  , 3751591976 ,"Dict{String, Any}(""timeouts_carlier"" => 1)" ,OK                                             ,             2200
testsTwoJobs2/m2n_i2200i2.txt ,Shifting Bottleneck - DPC with timeout 10.0 with depth 0 ,2023-11-11T15:48:18.44  ,2 ,2 ,17608563465912858998 ,         16454 ,       16 , 28.0426806 , 5560911728 ,"Dict{String, Any}(""timeouts_carlier"" => 2)" ,OK                                             ,             2200
testsTwoJobs2/m2n_i2200i3.txt ,Shifting Bottleneck - DPC with timeout 10.0 with depth 0 ,2023-11-11T15:48:18.587 ,2 ,2 , 6248055506839125257 ,         16545 ,       17 , 28.1273569 , 5824893400 ,"Dict{String, Any}(""timeouts_carlier"" => 2)" ,OK                                             ,             2200
testsTwoJobs2/m2n_i2200i4.txt ,Shifting Bottleneck - DPC with timeout 10.0 with depth 0 ,2023-11-11T15:48:07.542 ,2 ,2 ,14220141458875484900 ,         16401 ,       10 , 15.5330874 , 3558864608 ,"Dict{String, Any}(""timeouts_carlier"" => 1)" ,OK                                             ,             2200
testsTwoJobs2/m2n_i2200i5.txt ,Shifting Bottleneck - DPC with timeout 10.0 with depth 0 ,2023-11-11T15:48:44.556 ,2 ,2 , 4126354407964444658 ,         16773 ,       20 , 37.0247165 , 6715286048 ,"Dict{String, Any}(""timeouts_carlier"" => 3)" ,OK                                             ,             2200
testsTwoJobs2/m2n_i2400i1.txt ,Shifting Bottleneck - DPC with timeout 10.0 with depth 0 ,2023-11-11T15:48:36.85  ,2 ,2 ,13845219763012430820 ,         18138 ,        7 , 18.4092625 , 3554305528 ,"Dict{String, Any}(""timeouts_carlier"" => 1)" ,OK                                             ,             2400
testsTwoJobs2/m2n_i2400i2.txt ,Shifting Bottleneck - DPC with timeout 10.0 with depth 0 ,2023-11-11T15:48:24.706 ,2 ,2 ,16663719755924255216 ,         18219 ,        4 ,  6.1323463 , 2163351728 ,"Dict{String, Any}()"                          ,OK                                             ,             2400
testsTwoJobs2/m2n_i2400i3.txt ,Shifting Bottleneck - DPC with timeout 10.0 with depth 0 ,2023-11-11T15:48:31.428 ,2 ,2 ,  399957685773922558 ,         18051 ,        4 ,  6.7068511 , 2163001456 ,"Dict{String, Any}()"                          ,OK                                             ,             2400
testsTwoJobs2/m2n_i2400i4.txt ,Shifting Bottleneck - DPC with timeout 10.0 with depth 0 ,2023-11-11T15:48:38.257 ,2 ,2 ,16431433048192566669 ,         17949 ,        4 ,  6.8261259 , 2162506352 ,"Dict{String, Any}()"                          ,OK                                             ,             2400
testsTwoJobs2/m2n_i2400i5.txt ,Shifting Bottleneck - DPC with timeout 10.0 with depth 0 ,2023-11-11T15:48:57.513 ,2 ,2 ,10621102582362056287 ,         18209 ,        8 , 20.6733024 , 4005219520 ,"Dict{String, Any}(""timeouts_carlier"" => 1)" ,OK                                             ,             2400
testsTwoJobs2/m2n_i2600i1.txt ,Shifting Bottleneck - DPC with timeout 10.0 with depth 0 ,2023-11-11T15:48:56.653 ,2 ,2 ,18231264317313862168 ,         19176 ,       10 , 18.3949733 , 4780617120 ,"Dict{String, Any}(""timeouts_carlier"" => 1)" ,OK                                             ,             2600
