name,date,m,n,d,solution_id,algorithm,objectiveValue,objectiveFunction,job,operation,machine,processing_time,starttime,endtime,microruns,timeSeconds,memoryBytes,metadata,status
testsTwoJobs/m10n_i10.txt,2023-10-18T18:07:06.961,10,2,0,12068955346794579193,Branch and Bound - 1|R_j|Lmax,68,Cmax_function,1,1,7,9,2,11,12,0.5846573,72557721,"Dict{String, Any}()",OK
testsTwoJobs/m10n_i10.txt,2023-10-18T18:07:06.961,10,2,0,12068955346794579193,Branch and Bound - 1|R_j|Lmax,68,Cmax_function,1,2,4,10,11,21,12,0.5846573,72557721,"Dict{String, Any}()",OK
testsTwoJobs/m10n_i10.txt,2023-10-18T18:07:06.961,10,2,0,12068955346794579193,Branch and Bound - 1|R_j|Lmax,68,Cmax_function,1,3,2,10,21,31,12,0.5846573,72557721,"Dict{String, Any}()",OK
testsTwoJobs/m10n_i10.txt,2023-10-18T18:07:06.961,10,2,0,12068955346794579193,Branch and Bound - 1|R_j|Lmax,68,Cmax_function,1,4,4,2,31,33,12,0.5846573,72557721,"Dict{String, Any}()",OK
testsTwoJobs/m10n_i10.txt,2023-10-18T18:07:06.961,10,2,0,12068955346794579193,Branch and Bound - 1|R_j|Lmax,68,Cmax_function,1,5,9,6,33,39,12,0.5846573,72557721,"Dict{String, Any}()",OK
testsTwoJobs/m10n_i10.txt,2023-10-18T18:07:06.961,10,2,0,12068955346794579193,Branch and Bound - 1|R_j|Lmax,68,Cmax_function,1,6,2,5,39,44,12,0.5846573,72557721,"Dict{String, Any}()",OK
testsTwoJobs/m10n_i10.txt,2023-10-18T18:07:06.961,10,2,0,12068955346794579193,Branch and Bound - 1|R_j|Lmax,68,Cmax_function,1,7,2,4,44,48,12,0.5846573,72557721,"Dict{String, Any}()",OK
testsTwoJobs/m10n_i10.txt,2023-10-18T18:07:06.961,10,2,0,12068955346794579193,Branch and Bound - 1|R_j|Lmax,68,Cmax_function,1,8,5,7,48,55,12,0.5846573,72557721,"Dict{String, Any}()",OK
testsTwoJobs/m10n_i10.txt,2023-10-18T18:07:06.961,10,2,0,12068955346794579193,Branch and Bound - 1|R_j|Lmax,68,Cmax_function,1,9,2,4,55,59,12,0.5846573,72557721,"Dict{String, Any}()",OK
testsTwoJobs/m10n_i10.txt,2023-10-18T18:07:06.961,10,2,0,12068955346794579193,Branch and Bound - 1|R_j|Lmax,68,Cmax_function,1,10,3,1,59,60,12,0.5846573,72557721,"Dict{String, Any}()",OK
testsTwoJobs/m10n_i10.txt,2023-10-18T18:07:06.961,10,2,0,12068955346794579193,Branch and Bound - 1|R_j|Lmax,68,Cmax_function,2,1,7,2,0,2,12,0.5846573,72557721,"Dict{String, Any}()",OK
testsTwoJobs/m10n_i10.txt,2023-10-18T18:07:06.961,10,2,0,12068955346794579193,Branch and Bound - 1|R_j|Lmax,68,Cmax_function,2,2,3,10,2,12,12,0.5846573,72557721,"Dict{String, Any}()",OK
testsTwoJobs/m10n_i10.txt,2023-10-18T18:07:06.961,10,2,0,12068955346794579193,Branch and Bound - 1|R_j|Lmax,68,Cmax_function,2,3,4,10,21,31,12,0.5846573,72557721,"Dict{String, Any}()",OK
testsTwoJobs/m10n_i10.txt,2023-10-18T18:07:06.961,10,2,0,12068955346794579193,Branch and Bound - 1|R_j|Lmax,68,Cmax_function,2,4,7,6,31,37,12,0.5846573,72557721,"Dict{String, Any}()",OK
testsTwoJobs/m10n_i10.txt,2023-10-18T18:07:06.961,10,2,0,12068955346794579193,Branch and Bound - 1|R_j|Lmax,68,Cmax_function,2,5,4,5,37,42,12,0.5846573,72557721,"Dict{String, Any}()",OK
testsTwoJobs/m10n_i10.txt,2023-10-18T18:07:06.961,10,2,0,12068955346794579193,Branch and Bound - 1|R_j|Lmax,68,Cmax_function,2,6,1,4,42,46,12,0.5846573,72557721,"Dict{String, Any}()",OK
testsTwoJobs/m10n_i10.txt,2023-10-18T18:07:06.961,10,2,0,12068955346794579193,Branch and Bound - 1|R_j|Lmax,68,Cmax_function,2,7,10,3,46,49,12,0.5846573,72557721,"Dict{String, Any}()",OK
testsTwoJobs/m10n_i10.txt,2023-10-18T18:07:06.961,10,2,0,12068955346794579193,Branch and Bound - 1|R_j|Lmax,68,Cmax_function,2,8,7,6,49,55,12,0.5846573,72557721,"Dict{String, Any}()",OK
testsTwoJobs/m10n_i10.txt,2023-10-18T18:07:06.961,10,2,0,12068955346794579193,Branch and Bound - 1|R_j|Lmax,68,Cmax_function,2,9,8,10,55,65,12,0.5846573,72557721,"Dict{String, Any}()",OK
testsTwoJobs/m10n_i10.txt,2023-10-18T18:07:06.961,10,2,0,12068955346794579193,Branch and Bound - 1|R_j|Lmax,68,Cmax_function,2,10,5,3,65,68,12,0.5846573,72557721,"Dict{String, Any}()",OK
testsTwoJobs/m10n_i14.txt,2023-10-18T18:07:07.05,10,2,0,14309456970384742335,Branch and Bound - 1|R_j|Lmax,91,Cmax_function,1,1,9,2,0,2,210,0.023005,7366274,"Dict{String, Any}()",OK
testsTwoJobs/m10n_i14.txt,2023-10-18T18:07:07.05,10,2,0,14309456970384742335,Branch and Bound - 1|R_j|Lmax,91,Cmax_function,1,2,8,3,2,5,210,0.023005,7366274,"Dict{String, Any}()",OK
testsTwoJobs/m10n_i14.txt,2023-10-18T18:07:07.05,10,2,0,14309456970384742335,Branch and Bound - 1|R_j|Lmax,91,Cmax_function,1,3,10,6,5,11,210,0.023005,7366274,"Dict{String, Any}()",OK
testsTwoJobs/m10n_i14.txt,2023-10-18T18:07:07.05,10,2,0,14309456970384742335,Branch and Bound - 1|R_j|Lmax,91,Cmax_function,1,4,9,7,11,18,210,0.023005,7366274,"Dict{String, Any}()",OK
testsTwoJobs/m10n_i14.txt,2023-10-18T18:07:07.05,10,2,0,14309456970384742335,Branch and Bound - 1|R_j|Lmax,91,Cmax_function,1,5,1,6,18,24,210,0.023005,7366274,"Dict{String, Any}()",OK
testsTwoJobs/m10n_i14.txt,2023-10-18T18:07:07.05,10,2,0,14309456970384742335,Branch and Bound - 1|R_j|Lmax,91,Cmax_function,1,6,8,8,24,32,210,0.023005,7366274,"Dict{String, Any}()",OK
testsTwoJobs/m10n_i14.txt,2023-10-18T18:07:07.05,10,2,0,14309456970384742335,Branch and Bound - 1|R_j|Lmax,91,Cmax_function,1,7,1,9,32,41,210,0.023005,7366274,"Dict{String, Any}()",OK
testsTwoJobs/m10n_i14.txt,2023-10-18T18:07:07.05,10,2,0,14309456970384742335,Branch and Bound - 1|R_j|Lmax,91,Cmax_function,1,8,2,5,41,46,210,0.023005,7366274,"Dict{String, Any}()",OK
testsTwoJobs/m10n_i14.txt,2023-10-18T18:07:07.05,10,2,0,14309456970384742335,Branch and Bound - 1|R_j|Lmax,91,Cmax_function,1,9,7,8,46,54,210,0.023005,7366274,"Dict{String, Any}()",OK
testsTwoJobs/m10n_i14.txt,2023-10-18T18:07:07.05,10,2,0,14309456970384742335,Branch and Bound - 1|R_j|Lmax,91,Cmax_function,1,10,8,4,54,58,210,0.023005,7366274,"Dict{String, Any}()",OK
testsTwoJobs/m10n_i14.txt,2023-10-18T18:07:07.05,10,2,0,14309456970384742335,Branch and Bound - 1|R_j|Lmax,91,Cmax_function,1,11,8,5,58,63,210,0.023005,7366274,"Dict{String, Any}()",OK
testsTwoJobs/m10n_i14.txt,2023-10-18T18:07:07.05,10,2,0,14309456970384742335,Branch and Bound - 1|R_j|Lmax,91,Cmax_function,1,12,4,10,63,73,210,0.023005,7366274,"Dict{String, Any}()",OK
testsTwoJobs/m10n_i14.txt,2023-10-18T18:07:07.05,10,2,0,14309456970384742335,Branch and Bound - 1|R_j|Lmax,91,Cmax_function,1,13,8,5,73,78,210,0.023005,7366274,"Dict{String, Any}()",OK
testsTwoJobs/m10n_i14.txt,2023-10-18T18:07:07.05,10,2,0,14309456970384742335,Branch and Bound - 1|R_j|Lmax,91,Cmax_function,1,14,6,10,78,88,210,0.023005,7366274,"Dict{String, Any}()",OK
testsTwoJobs/m10n_i14.txt,2023-10-18T18:07:07.05,10,2,0,14309456970384742335,Branch and Bound - 1|R_j|Lmax,91,Cmax_function,2,1,4,9,0,9,210,0.023005,7366274,"Dict{String, Any}()",OK
testsTwoJobs/m10n_i14.txt,2023-10-18T18:07:07.05,10,2,0,14309456970384742335,Branch and Bound - 1|R_j|Lmax,91,Cmax_function,2,2,6,3,9,12,210,0.023005,7366274,"Dict{String, Any}()",OK
testsTwoJobs/m10n_i14.txt,2023-10-18T18:07:07.05,10,2,0,14309456970384742335,Branch and Bound - 1|R_j|Lmax,91,Cmax_function,2,3,5,7,12,19,210,0.023005,7366274,"Dict{String, Any}()",OK
testsTwoJobs/m10n_i14.txt,2023-10-18T18:07:07.05,10,2,0,14309456970384742335,Branch and Bound - 1|R_j|Lmax,91,Cmax_function,2,4,7,6,19,25,210,0.023005,7366274,"Dict{String, Any}()",OK
testsTwoJobs/m10n_i14.txt,2023-10-18T18:07:07.05,10,2,0,14309456970384742335,Branch and Bound - 1|R_j|Lmax,91,Cmax_function,2,5,9,9,25,34,210,0.023005,7366274,"Dict{String, Any}()",OK
